gene	foldChange	pValue	passFilter
MARCKS	1.20746	2.06471	YES
TTK	2.33369	3.206	YES
RNF2	1.53735	2.56746	YES
RPL29	1.60987	1.30438	YES
CREB1	1.44382	1.88356	YES
GABPA	1.66105	1.33836	YES
SIMC1	1.88142	2.22891	NO
EEF1E1	1.47499	1.90786	NO
FUS	1.86398	1.39108	NO
BLVRA	1.15836	1.51283	NO
MARC1	1.01837	1.70428	NO
MAP1S	1.99852	1.51825	NO
C9orf40	1.76125	1.59419	NO
TTC39C	1.12804	1.72104	NO
VANGL1	1.38562	1.76048	NO
AAMDC	1.15636	1.90497	NO
AFF4	1.86693	1.39423	NO
RNF219	-1.08551	2.74976	YES
ZC3H15	-2.96467	1.31691	YES
EIF2B3	-1.12113	1.60673	YES
MEN1	-8.07142	4.96027	YES
MGRN1	-1.59036	2.4722	YES
ESD	-1.70034	3.11553	YES
SNRPN	-2.29482	1.84569	YES
STOM	-2.68858	2.4352	YES
NMT1	-1.81291	1.49426	YES
RPS5	-1.56653	1.40256	YES
SMARCB1	-2.12434	2.30268	YES
DAG1	-6.53177	3.07147	YES
SCYL2	-1.54863	1.85485	YES
EFTUD1	-1.59413	2.37663	YES
EXOC8	-1.50115	1.33186	YES
PHACTR4	-2.01489	2.54786	YES
RQCD1	-2.0888	2.29174	YES
ARHGEF2	-1.74956	2.93447	YES
CUL5	-2.82381	3.17912	YES
RAB24	-1.95195	2.38594	YES
TMEM43	-2.51851	2.12777	YES
DNAJC5	-1.50311	2.45401	YES
UCKL1	-1.02466	1.4779	NO
PPP6C	-1.24621	1.70031	NO
EPN2	-1.98495	2.46987	NO
PEPD	-1.60208	1.98404	NO
MCM5	-1.65738	2.39692	NO
DYNLT1	-3.08597	1.42096	NO
EIF4A2	-1.56703	1.40059	NO
LRRC8A	-1.29108	2.02776	NO
CNDP2	-1.43749	1.83677	NO
ODF2L	-1.37663	1.69658	NO
SPAG7	-1.27408	2.18766	NO
COL6A1	-1.38787	2.34739	NO
DTYMK	-1.11679	1.36606	NO
ARFIP2	-1.60207	2.12024	NO
HIF1A	-1.02673	1.37482	NO
ERI1	-1.02639	1.87181	NO
DNAH6	-1.7308	1.32644	NO
WDR3	-1.34691	2.23244	NO
ACACA	-0.156963	0.0629923	YES
PC	-0.267216	1.75655	YES
RPS27A	0.161499	0.226712	YES
USP7	-3.80931	1.68997	YES
KIAA1598	0.276196	1.62521	
C5orf51	-0.888575	1.41384	
AP3B1	-0.390238	1.43812	
SUPT5H	0.452215	1.68745	
PRC1	0.765423	1.39118	
NARS	0.570503	2.16017	
CALU	0.41834	1.30517	
DIAPH1	-0.430599	1.32671	
MED6	-0.898216	1.59505	
TOMM70A	0.504904	3.83495	
UBXN7	0.648099	2.25064	
AP2A2	0.205474	1.32829	
SGPL1	-0.90273	1.66831	
STAU1	-0.632249	1.8872	
AK1	-0.401143	1.49861	
GNAI2	0.415931	1.6327	
TPM3	-0.271236	1.33949	
P4HB	-0.269119	1.70336	
EPRS	-0.335231	2.32092	
HNRNPC	0.409429	1.35656	
ADH5	-0.604998	2.11501	
HSP90B1	0.319465	2.31853	
EZR	0.483012	2.17694	
CAPN2	0.843849	1.60436	
ANXA7	0.352005	1.3788	
HNRNPA2B1	0.423645	1.45892	
MSN	0.559347	1.81049	
RPA1	0.259907	1.39637	
PPP2R1B	0.627848	1.87066	
CCND2	0.554831	1.40192	
HMOX2	-0.643925	1.30756	
CSTF2	0.742134	1.42333	
MCM7	-0.582644	1.3389	
RDX	0.503716	1.31287	
ADD1	-0.767119	1.36905	
RPL13A	0.66798	1.57849	
RFC3	0.347045	1.38217	
CCNF	-0.919819	1.47677	
TMPO	0.531216	2.02801	
GNPDA1	-0.37479	2.88761	
IQGAP1	-0.230928	1.48548	
CCT8	-0.442647	1.79156	
USP11	0.674156	1.33861	
IST1	-0.59375	1.48731	
USP14	-0.737444	1.58532	
DCAF7	0.481805	1.67701	
RPS7	0.952083	1.86101	
RPS4X	0.893984	2.06041	
YWHAZ	-0.313316	1.42724	
UBXN2A	0.902591	1.43433	
CLTC	-0.348108	2.00634	
FKBP4	0.506862	1.62681	
GFPT1	0.516222	2.72682	
MCL1	0.821862	1.76753	
GOLGA2	-0.60298	3.45866	
SF3A3	-0.409299	1.33326	
ILF3	-0.445653	1.36963	
CSTF3	0.490739	1.47635	
TTLL12	0.395718	1.96012	
DCTN1	-0.462147	1.54747	
SMC1A	-0.347832	2.91462	
RAB3GAP1	-0.80356	2.18571	
PCM1	-0.593675	1.45691	
PON2	-0.903056	1.50262	
PPA1	-0.417365	1.48473	
TCEB2	-0.499199	2.91872	
GLYR1	0.740486	1.65822	
GRIPAP1	-0.545642	2.16899	
CCDC93	0.38483	1.81876	
WDR44	-0.479807	1.76938	
YOD1	0.515708	1.5079	
CEP135	-0.434807	1.35186	
INTS3	0.60836	2.49207	
PDE12	0.374702	1.74066	
CDC73	0.474862	1.50379	
CCDC174	-0.743636	1.32514	
SARM1	0.461999	1.89408	
ARMC9	-0.42275	1.80297	
CAND1	-0.302749	1.40592	
VRK2	-0.902539	1.7596	
STX12	0.466714	1.37587	
GCC2	-0.555012	1.66079	
NELFCD	0.295886	2.19177	
FAM98A	0.35522	1.58034	
IL17RE	-0.872355	1.34307	
NPLOC4	0.388899	2.48229	
PIP4K2C	0.35625	1.42277	
RDH11	-0.47509	1.46937	
PRPF31	-0.593282	1.4378	
NELFB	0.472788	1.33071	
GATAD2B	0.320475	2.29336	
PRCC	-0.946072	1.41784	
ERCC4	0.437348	1.61636	
USP13	-0.449827	1.51742	
SMARCE1	0.510833	1.88899	
PSMG2	-0.504733	1.3438	
CCDC47	-0.789475	1.47489	
SIRT1	-0.57461	3.58404	
OTUD5	0.616299	2.59411	
NAF1	-0.75322	1.67358	
MCCC1	0.377553	1.38585	
WRNIP1	0.514157	1.66555	
MCMBP	0.296595	1.44452	
POLR3C	0.542271	1.65408	
UBQLN4	-0.853772	1.31833	
ABCF3	0.448271	1.32936	
TBC1D23	0.655912	1.4116	
GGA3	0.416258	1.46087	
MORF4L1	0.720382	1.46769	
SEL1L	0.537528	1.57852	
ABCF2	0.230579	3.25919	
UBQLN2	0.4491	1.91607	
FEM1B	0.62666	1.56115	
KIDINS220	-0.35758	1.48331	
MAGED2	0.463359	3.08858	
SNX6	0.698049	1.41131	
FAF1	0.39051	2.7769	
NSFL1C	0.90175	1.82386	
SMC3	-0.312997	2.26753	
GTF3C5	0.701063	1.44678	
ROBO1	0.957559	3.02685	
SEC23IP	-0.876237	1.96425	
ARRDC5	-1.15622	0.303693	
SMCHD1	-1.3789	1.00449	
ACOT7	-1.06038	0.694809	
PIK3C2A	-1.23794	0.713675	
CHEK1	-1.53289	0.79994	
POLR3A	-1.16197	0.34114	
SCAMP2	-1.11463	0.498653	
SPTLC1	-1.19473	0.316709	
PRPF4	-1.05829	0.348607	
SART1	-1.90667	0.876004	
PRPSAP2	-1.07369	0.404865	
GMDS	-2.75657	0.324784	
CNOT3	-2.19992	1.00423	
PRPF40A	-1.50744	0.472456	
CBR3	-1.56969	0.49952	
DGKI	-1.88651	0.410158	
BCAS2	-1.01804	0.43166	
TMEM63A	-1.82398	0.6036	
SUN1	-1.20179	0.818527	
GOSR1	-1.85233	0.801591	
PSMG1	-1.43378	0.734642	
PCNT	-1.22214	0.59659	
BAG2	-1.02367	0.521369	
IGKC	-1.00938	0.503404	
HMGCR	-1.59878	0.583945	
SEMG1	-2.62025	0.781158	
RPN2	-2.36793	0.905805	
S100A9	-1.38018	0.434282	
NPM1	-1.69459	0.567744	
TPM1	-1.16725	0.420662	
SNRPA1	-1.21901	0.509527	
POLA1	-1.90854	0.944652	
HLA-C	-1.44968	0.689935	
LAMC1	-1.49905	0.851856	
P4HA1	-1.13557	0.542422	
COL11A2	-3.01256	0.789464	
ATP2A2	-1.23927	0.926535	
PLCG1	-1.21354	1.02381	
SRM	-1.90471	0.909648	
CSNK2A2	-1.09655	0.668862	
BTF3	-1.00789	0.270814	
PSMB1	-1.1643	0.55723	
ACO1	-1.21277	1.00469	
TAF1L	-1.47321	0.72725	
TGM1	-1.09659	0.456906	
ACVR2A	-1.18124	0.894791	
S100A7	-1.20311	0.353416	
SFN	-1.74775	0.369471	
ABCC1	-1.24148	0.655572	
RPL22	-1.6191	0.811878	
SRP14	-1.92907	0.635505	
GGCX	-1.11316	0.730553	
RFC5	-1.75351	0.576258	
LIMS1	-1.65489	1.25436	
